July 5, 2024   17:43:49
Amperometric i-t Curve
File: run unsaved
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Results:

Channel 1:

Time/sec, Current/A

1.740e+1, 4.266e-6
1.743e+1, 4.262e-6
1.746e+1, 4.260e-6
1.749e+1, 4.259e-6
1.752e+1, 4.262e-6
1.755e+1, 4.264e-6
1.758e+1, 4.264e-6
1.761e+1, 4.270e-6
1.764e+1, 4.273e-6
1.767e+1, 4.284e-6
1.770e+1, 4.291e-6
1.773e+1, 4.294e-6
1.776e+1, 4.300e-6
1.779e+1, 4.310e-6
1.782e+1, 4.314e-6
1.785e+1, 4.311e-6
1.788e+1, 4.327e-6
1.791e+1, 4.330e-6
1.794e+1, 4.380e-6
1.797e+1, 4.416e-6
1.800e+1, 4.436e-6
1.803e+1, 4.467e-6
1.806e+1, 4.518e-6
1.809e+1, 4.539e-6
1.812e+1, 4.546e-6
1.815e+1, 4.582e-6
1.818e+1, 4.635e-6
1.821e+1, 4.651e-6
1.824e+1, 4.670e-6
1.827e+1, 4.667e-6
1.830e+1, 4.661e-6
1.833e+1, 4.651e-6
1.836e+1, 4.641e-6
1.839e+1, 4.590e-6
1.842e+1, 4.569e-6
1.845e+1, 4.616e-6
1.848e+1, 4.610e-6
1.851e+1, 4.613e-6
1.854e+1, 4.625e-6
1.857e+1, 4.581e-6
1.860e+1, 4.563e-6
1.863e+1, 4.567e-6
1.866e+1, 4.577e-6
1.869e+1, 4.572e-6
1.872e+1, 4.563e-6
1.875e+1, 4.576e-6
1.878e+1, 4.611e-6
1.881e+1, 4.628e-6
1.884e+1, 4.635e-6
1.887e+1, 4.612e-6
1.890e+1, 4.565e-6
1.893e+1, 4.556e-6
1.896e+1, 4.558e-6
1.899e+1, 4.555e-6
1.902e+1, 4.555e-6
1.905e+1, 4.552e-6
1.908e+1, 4.548e-6
1.911e+1, 4.528e-6
1.914e+1, 4.522e-6
1.917e+1, 4.511e-6
1.920e+1, 4.516e-6
1.923e+1, 4.521e-6
1.926e+1, 4.521e-6
1.929e+1, 4.544e-6
1.932e+1, 4.543e-6
1.935e+1, 4.513e-6
1.938e+1, 4.485e-6
1.941e+1, 4.484e-6
1.944e+1, 4.511e-6
1.947e+1, 4.532e-6
1.950e+1, 4.475e-6
1.953e+1, 4.470e-6
1.956e+1, 4.474e-6
1.959e+1, 4.489e-6
1.962e+1, 4.481e-6
1.965e+1, 4.475e-6
1.968e+1, 4.483e-6
1.971e+1, 4.487e-6
1.974e+1, 4.486e-6
1.977e+1, 4.503e-6
1.980e+1, 4.551e-6
