23/12/15 16:17:55
,Ch,,Vanode(Vout1)
Time (s),I (A),ΔI/I0 (%),Voltage(V)
13.053008079528809,7.2978E-5,-4.373916879457318,0.5000
13.104008674621582,7.5332E-5,-1.2893764400491916,0.5000
13.155008316040039,7.6464E-5,0.19393083530790156,0.5000
13.22200870513916,7.7399E-5,1.419105404998536,0.5000
13.278008460998535,7.3607E-5,-3.549713212895557,0.5000
13.339008331298828,7.7139E-5,1.0784083694679396,0.5000
13.403008460998535,7.6144E-5,-0.225373925364706,0.5000
13.456007957458496,7.6526E-5,0.275169940939809,0.5000
13.518009185791016,7.6691E-5,0.49138170452628904,0.5000
13.57400894165039,7.6927E-5,0.8006165820255164,0.5000
13.623008728027344,7.9047E-5,3.5785439904370295,0.5000
13.675007820129395,8.0517E-5,5.504743111002974,0.5000
13.728008270263672,8.0635E-5,5.6593653167462294,0.5000
13.802008628845215,7.8079E-5,2.3101327884214684,0.5000
13.8590087890625,8.0013E-5,4.844333345949976,0.5000
13.926008224487305,8.1878E-5,7.2881231020810695,0.5000
13.981009483337402,8.2774E-5,8.462185965951653,0.5000
14.038009643554688,8.1469E-5,6.752189074984906,0.5000
14.095008850097656,8.1822E-5,7.214740001969721,0.5000
14.165008544921875,8.2785E-5,8.476601354722389,0.5000
14.228009223937988,8.3182E-5,8.996804302802868,0.5000
14.279008865356445,8.2719E-5,8.390118556085254,0.5000
14.333009719848633,8.1573E-5,6.888467889197143,0.5000
14.38400936126709,8.1048E-5,6.200533502860339,0.5000
14.447009086608887,8.619E-5,12.938307189074507,0.5000
14.503008842468262,8.6369E-5,13.172862344192005,0.5000
14.570009231567383,8.5849E-5,12.491487341105376,0.5000
14.640009880065918,8.8307E-5,15.712306594725742,0.5000
14.703009605407715,8.7974E-5,15.275955064792502,0.5000
14.756010055541992,8.7195E-5,14.255208250407506,0.5000
14.822010040283203,8.6066E-5,12.775828977810693,0.5000
14.874011039733887,8.7723E-5,14.947061105517308,0.5000
14.927011489868164,8.7799E-5,15.046653136667516,0.5000
14.980010986328125,8.7636E-5,14.833063219583648,0.5000
15.030011177062988,8.504E-5,11.431422363168453,0.5000
15.081010818481445,8.4845E-5,11.175901970017327,0.5000
15.142010688781738,8.4185E-5,10.31107398364597,0.5000
15.1950101852417,8.4698E-5,10.98327729096709,0.5000
15.249011039733887,8.4934E-5,11.2925217024536,0.5000
15.302010536193848,8.4916E-5,11.268934617917356,0.5000
15.365010261535645,8.2728E-5,8.401912098353376,0.5000
15.416010856628418,8.2777E-5,8.466113968711934,0.5000
15.474010467529297,8.674E-5,13.659000355713067,0.5000
15.52401065826416,8.7308E-5,14.403271072900587,0.5000
15.585010528564453,8.3562E-5,9.494735856592051,0.5000
15.646010398864746,8.4722E-5,11.014729915011177,0.5000
15.699009895324707,8.3622E-5,9.573353115721345,0.5000
15.757010459899902,8.6613E-5,13.492584607701689,0.5000
15.811010360717773,8.5933E-5,12.601557224278755,0.5000
15.865010261535645,8.4417E-5,10.615074702127252,0.5000
15.918009757995605,8.2115E-5,7.598673669825246,0.5000
15.969010353088379,8.2023E-5,7.478116400641409,0.5000
16.021011352539062,8.3271E-5,9.113424035239143,0.5000
16.077011108398438,8.8489E-5,15.950789752603518,0.5000
16.133012771606445,8.8498E-5,15.96258329487164,0.5000
16.185012817382812,8.6503E-5,13.348449787968889,0.5000
16.238012313842773,8.5816E-5,12.448241174793168,0.5000
16.29401206970215,8.5776E-5,12.395832846702733,0.5000
16.361011505126953,8.5435E-5,11.949003464746319,0.5000
16.428010940551758,8.4915E-5,11.26762846165969,0.5000
16.484010696411133,8.5664E-5,12.24907618046732,0.5000
16.56300926208496,8.3286E-5,9.133083117015108,0.5000
16.615009307861328,8.4747E-5,11.047488695312929,0.5000
16.67000961303711,8.6706E-5,13.614448033143189,0.5000
16.72701072692871,8.5644E-5,12.222867249428461,0.5000
16.783010482788086,8.5304E-5,11.777344023729713,0.5000
16.842010498046875,8.5781E-5,12.402382695965626,0.5000
16.895009994506836,8.5937E-5,12.606791383296704,0.5000
16.961009979248047,8.5553E-5,12.103625670489574,0.5000
17.032011032104492,8.557E-5,12.125897064780869,0.5000
17.099008560180664,8.519E-5,11.627965510991686,0.5000
17.158010482788086,8.5879E-5,12.530795970670022,0.5000
17.211009979248047,9.0645E-5,18.775881796100236,0.5000
17.270009994506836,8.5294E-5,11.764244325203926,0.5000
17.33500862121582,8.5615E-5,12.184864776121481,0.5000
17.392009735107422,8.5692E-5,12.285762963529352,0.5000
17.44900894165039,8.4842E-5,11.171973967257046,0.5000
17.50800895690918,8.5437E-5,11.951625311248932,0.5000
17.56100845336914,8.5394E-5,11.895279446410935,0.5000
17.6140079498291,8.5864E-5,12.51113688889406,0.5000
17.675006866455078,9.1431E-5,19.805809840238023,0.5000
17.73000717163086,9.1185E-5,19.483465730225724,0.5000
17.833005905151367,8.979E-5,17.655542950565035,0.5000
17.88800621032715,8.6126E-5,12.854446236939987,0.5000
17.95200538635254,8.7126E-5,14.164787915022808,0.5000
18.024005889892578,8.5878E-5,12.529480280425076,0.5000
18.07500648498535,8.4133E-5,10.24293457653985,0.5000
18.13400650024414,8.0551E-5,5.5492954335728495,0.5000
18.1870059967041,8.3918E-5,9.961214786337148,0.5000
18.24400520324707,8.8595E-5,16.089680879331087,0.5000
18.29700469970703,8.8044E-5,15.367681556434864,0.5000
18.36200523376465,8.7836E-5,15.095133461997671,0.5000
18.421003341674805,8.2563E-5,8.185700334766896,0.5000
18.475004196166992,8.2545E-5,8.162113250230652,0.5000
18.526004791259766,8.2365E-5,7.926251938855488,0.5000
18.583005905151367,8.2443E-5,8.028465816508309,0.5000
18.644004821777344,8.0805E-5,5.882126929595604,0.5000
18.697004318237305,7.9105E-5,3.6545394030637084,0.5000
18.754005432128906,7.9652E-5,4.371304566941986,0.5000
18.807004928588867,8.2014E-5,7.466322858373287,0.5000
18.863004684448242,8.3089E-5,8.874940877361366,0.5000
18.921003341674805,8.2829E-5,8.534253375818052,0.5000
18.984004974365234,7.856E-5,2.9404056196753277,0.5000
19.035003662109375,7.7804E-5,1.9497862051021897,0.5000
19.086002349853516,7.7167E-5,1.1151046865172545,0.5000
19.14600372314453,7.7455E-5,1.4924789711226012,0.5000
19.20500373840332,7.6502E-5,0.24372685088300453,0.5000
19.2600040435791,7.6489E-5,0.22668961560965414,0.5000
